Year,Name,Team,Points
1996-97,Michael Jordan,CHI,590
1996-97,Karl Malone,UTA,519
1996-97,Hakeem Olajuwon,HOU,370
1996-97,Scottie Pippen,CHI,365
1996-97,John Stockton,UTA,322
1996-97,Tim Hardaway,MIA,318
1996-97,Alonzo Mourning,MIA,303
1996-97,Jeff Hornacek,UTA,291
1996-97,Clyde Drexler,HOU,290
1996-97,Charles Barkley,HOU,286
1996-97,Gary Payton,SEA,285
1996-97,Shawn Kemp,SEA,259
1996-97,Bryon Russell,UTA,245
1996-97,Shaquille O'Neal,LAL,242
1996-97,Detlef Schrempf,SEA,203
1996-97,Patrick Ewing,NYK,203
1996-97,Voshon Lenard,MIA,194
1996-97,Steven Smith,ATL,189
1996-97,Mario Elie,HOU,184
1996-97,Hersey Hawkins,SEA,183
1996-97,Matt Maloney,HOU,179
1996-97,Jamal Mashburn,MIA,178
1996-97,Christian Laettner,ATL,176
1996-97,Allan Houston,NYK,173
1996-97,Mookie Blaylock,ATL,164
1996-97,Anfernee Hardaway,ORL,155
1996-97,Dikembe Mutombo,ATL,154
1996-97,Toni Kukoc,CHI,150
1996-97,Ron Harper,CHI,142
1996-97,Dan Majerle,MIA,136
1996-97,Eddie Johnson,HOU,133
1996-97,Nick Van Exel,LAL,130
1996-97,John Starks,NYK,126
1996-97,Larry Johnson,NYK,124
1996-97,Luc Longley,CHI,124
1996-97,P.J. Brown,MIA,122
1996-97,Rex Chapman,PHX,121
1996-97,Grant Hill,DET,118
1996-97,Bison Dele,CHI,116
1996-97,Howard Eisley,UTA,112
1996-97,Elden Campbell,LAL,106
1996-97,Terry Cummings,SEA,106
1996-97,Tyrone Corbin,ATL,106
1996-97,Chris Childs,NYK,104
1996-97,Kevin Willis,HOU,102
1996-97,Eddie Jones,LAL,101
1996-97,Sam Perkins,SEA,101
1996-97,Antoine Carr,UTA,98
1996-97,Charles Oakley,NYK,98
1996-97,Ike Austin,MIA,98
1996-97,Steve Kerr,CHI,95
1996-97,Greg Ostertag,UTA,94
1996-97,Greg Foster,UTA,84
1996-97,Kevin Johnson,PHX,84
1996-97,Glen Rice,CHH,83
1996-97,Shandon Anderson,UTA,83
1996-97,Dennis Rodman,CHI,79
1996-97,Rasheed Wallace,POR,79
1996-97,Wesley Person,PHX,78
1996-97,David Wingate,SEA,77
1996-97,Lindsey Hunter,DET,75
1996-97,Kobe Bryant,LAL,74
1996-97,Joe Dumars,DET,69
1996-97,Kenny Anderson,POR,68
1996-97,Danny Manning,PHX,66
1996-97,Stephon Marbury,MIN,64
1996-97,Derek Strong,ORL,61
1996-97,Jason Kidd,PHX,60
1996-97,Robert Horry,LAL,60
1996-97,Rod Strickland,WAS,59
1996-97,Sedale Threatt,HOU,59
1996-97,Terry Mills,DET,59
1996-97,Alan Henderson,ATL,58
1996-97,Chris Morris,UTA,57
1996-97,Darrell Armstrong,ORL,57
1996-97,Juwan Howard,WAS,56
1996-97,Tom Gugliotta,MIN,55
1996-97,Tracy Murray,WAS,55
1996-97,Vlade Divac,CHH,54
1996-97,Isaiah Rider,POR,53
1996-97,Kevin Garnett,MIN,52
1996-97,Byron Scott,LAL,51
1996-97,Jerome Kersey,LAL,49
1996-97,Otis Thorpe,DET,49
1996-97,Clifford Robinson,POR,48
1996-97,Chris Webber,WAS,47
1996-97,Gerald Wilkins,ORL,47
1996-97,Arvydas Sabonis,POR,45
1996-97,Calbert Cheaney,WAS,45
1996-97,Loy Vaught,LAC,45
1996-97,Buck Williams,NYK,43
1996-97,Jason Caffey,CHI,41
1996-97,Anthony Mason,CHH,39
1996-97,Dean Garrett,MIN,38
1996-97,John Crotty,MIA,37
1996-97,Malik Sealy,LAC,36
1996-97,Brent Barry,LAC,35
1996-97,Cedric Ceballos,PHX,33
1996-97,Darrick Martin,LAC,33
1996-97,Doug West,MIN,33
1996-97,Jud Buechler,CHI,33
1996-97,Willie Anderson,MIA,33
1996-97,Gary Trent,POR,32
1996-97,Muggsy Bogues,CHH,32
1996-97,Rodney Rogers,LAC,32
1996-97,Eldridge Recasner,ATL,31
1996-97,Lorenzen Wright,LAC,31
1996-97,Tony Delk,CHH,31
1996-97,Keith Askins,MIA,30
1996-97,Nick Anderson,ORL,28
1996-97,Grant Long,DET,25
1996-97,Ricky Pierce,CHH,23
1996-97,Dan Schayes,ORL,22
1996-97,Lamond Murray,LAC,21
1996-97,Randy Brown,CHI,21
1996-97,Charlie Ward,NYK,20
1996-97,Hot Rod Williams,PHX,20
1996-97,Rony Seikaly,ORL,19
1996-97,Travis Knight,LAL,19
1996-97,Sam Mitchell,MIN,17
1996-97,Eric Piatkowski,LAC,16
1996-97,Terry Porter,MIN,16
1996-97,Aaron McKie,DET,15
1996-97,Bo Outlaw,LAC,15
1996-97,Dennis Scott,ORL,15
1996-97,Gheorghe Muresan,WAS,15
1996-97,Dell Curry,CHH,14
1996-97,James Robinson,MIN,14
1996-97,Sean Rooks,LAL,14
1996-97,Eric Snow,SEA,13
1996-97,Larry Stewart,SEA,13
1996-97,Chris Dudley,POR,12
1996-97,Greg Graham,SEA,12
1996-97,Wayman Tisdale,PHX,12
1996-97,Mark Bryant,PHX,11
1996-97,Mike Brown,PHX,11
1996-97,Brian Shaw,ORL,10
1996-97,John Wallace,NYK,10
1996-97,Jim McIlvaine,SEA,9
1996-97,Othella Harrington,HOU,9
1996-97,Richard Manning,LAC,9
1996-97,Stephen Howard,UTA,9
1996-97,Adam Keefe,UTA,8
1996-97,Derek Fisher,LAL,8
1996-97,Dontonio Wingfield,POR,8
1996-97,Henry James,ATL,8
1996-97,Mark Strickland,MIA,8
1996-97,Theo Ratliff,DET,8
1996-97,Chris Whitney,WAS,7
1996-97,Stacey Augmon,POR,7
1996-97,Matt Bullard,HOU,6
1996-97,Matt Geiger,CHH,6
1996-97,Shane Heal,MIN,6
1996-97,Amal McCaskill,ORL,5
1996-97,Rumeal Robinson,POR,5
1996-97,Steve Nash,PHX,5
1996-97,Cherokee Parks,MIN,4
1996-97,Darrin Hancock,ATL,4
1996-97,Don Reid,DET,4
1996-97,Ed Pinckney,MIA,4
1996-97,Herb Williams,NYK,4
1996-97,Jerome Williams,DET,4
1996-97,Malik Rose,CHH,4
1996-97,Pooh Richardson,LAC,4
1996-97,Walter McCarty,NYK,4
1996-97,Corie Blount,LAL,3
1996-97,Randy Livingston,HOU,3
1996-97,Scott Brooks,NYK,3
1996-97,Brian Evans,ORL,2
1996-97,Michael Curry,DET,2
1996-97,Mitchell Butler,POR,2
1996-97,Robert Parish,CHI,2
1996-97,Tim Legler,WAS,1
1996-97,Tony Smith,CHH,1
1996-97,Charles Jones,HOU,0
1996-97,Chris Carr,MIN,0
1996-97,Donald Royal,CHH,0
1996-97,Harvey Grant,WAS,0
1996-97,Ivano Newbill,ATL,0
1996-97,Jaren Jackson,WAS,0
1996-97,Jermaine O'Neal,POR,0
1996-97,Jon Barry,ATL,0
1996-97,Loren Meyer,PHX,0
1996-97,Lorenzo Williams,WAS,0
1996-97,Nate McMillan,SEA,0
1996-97,Priest Lauderdale,ATL,0
1996-97,Rick Mahorn,DET,0
1996-97,Stojko Vrankovic,MIN,0
1996-97,Terry Dehere,LAC,0
1997-98,Michael Jordan,CHI,680
1997-98,Karl Malone,UTA,526
1997-98,Shaquille O'Neal,LAL,396
1997-98,Scottie Pippen,CHI,353
1997-98,Reggie Miller,IND,319
1997-98,Toni Kukoc,CHI,275
1997-98,Rik Smits,IND,265
1997-98,Gary Payton,SEA,240
1997-98,John Stockton,UTA,222
1997-98,Eddie Jones,LAL,221
1997-98,Bryon Russell,UTA,219
1997-98,Jeff Hornacek,UTA,217
1997-98,Allan Houston,NYK,211
1997-98,Glen Rice,CHH,205
1997-98,Tim Duncan,SAS,186
1997-98,David Robinson,SAS,175
1997-98,John Starks,NYK,164
1997-98,Detlef Schrempf,SEA,161
1997-98,Vin Baker,SEA,158
1997-98,Avery Johnson,SAS,156
1997-98,Nick Van Exel,LAL,151
1997-98,Antonio Davis,IND,147
1997-98,Mark Jackson,IND,147
1997-98,Larry Johnson,NYK,143
1997-98,Chris Mullin,IND,142
1997-98,Luc Longley,CHI,142
1997-98,Rick Fox,LAL,142
1997-98,Dale Davis,IND,141
1997-98,Ron Harper,CHI,141
1997-98,Anthony Mason,CHH,139
1997-98,Hersey Hawkins,SEA,134
1997-98,Shandon Anderson,UTA,134
1997-98,Tim Hardaway,MIA,130
1997-98,Jalen Rose,IND,122
1997-98,Howard Eisley,UTA,112
1997-98,Robert Horry,LAL,112
1997-98,Shawn Kemp,CLE,104
1997-98,Vlade Divac,CHH,104
1997-98,Steve Kerr,CHI,103
1997-98,Dennis Rodman,CHI,102
1997-98,Hakeem Olajuwon,HOU,102
1997-98,Steven Smith,ATL,99
1997-98,Travis Best,IND,97
1997-98,Kobe Bryant,LAL,96
1997-98,Vinny Del Negro,SAS,96
1997-98,Jaren Jackson,SAS,92
1997-98,David Wesley,CHH,90
1997-98,Antoine Carr,UTA,88
1997-98,Greg Foster,UTA,82
1997-98,Anthony Peeler,MIN,81
1997-98,Charles Oakley,NYK,81
1997-98,Scott Burrell,CHI,80
1997-98,Kevin Garnett,MIN,79
1997-98,Terry Porter,MIN,79
1997-98,Derek Fisher,LAL,78
1997-98,Jerome Kersey,SEA,78
1997-98,Alonzo Mourning,MIA,77
1997-98,Chris Morris,UTA,77
1997-98,Isaiah Rider,POR,77
1997-98,Clyde Drexler,HOU,75
1997-98,Sam Mitchell,MIN,72
1997-98,Voshon Lenard,MIA,72
1997-98,Antonio McDyess,PHX,71
1997-98,Damon Stoudamire,POR,71
1997-98,Stephon Marbury,MIN,69
1997-98,Zydrunas Ilgauskas,CLE,69
1997-98,Elden Campbell,LAL,68
1997-98,Derrick McKey,IND,67
1997-98,Charlie Ward,NYK,66
1997-98,Greg Ostertag,UTA,64
1997-98,Chris Childs,NYK,63
1997-98,Mookie Blaylock,ATL,59
1997-98,Rasheed Wallace,POR,58
1997-98,Bobby Phills,CHH,57
1997-98,George McCloud,PHX,57
1997-98,Jason Kidd,PHX,57
1997-98,Dale Ellis,SEA,56
1997-98,Kevin Willis,HOU,56
1997-98,Patrick Ewing,NYK,56
1997-98,Kevin Johnson,PHX,55
1997-98,Sherman Douglas,NJN,55
1997-98,Sam Perkins,SEA,54
1997-98,Brian Grant,POR,53
1997-98,Walt Williams,POR,53
1997-98,Chuck Person,SAS,52
1997-98,Dell Curry,CHH,52
1997-98,Alan Henderson,ATL,51
1997-98,Arvydas Sabonis,POR,49
1997-98,Kerry Kittles,NJN,49
1997-98,Eric Murdock,MIA,47
1997-98,Chris Gatling,NJN,46
1997-98,P.J. Brown,MIA,46
1997-98,Bill Wennington,CHI,44
1997-98,Chris Mills,NYK,44
1997-98,Derek Anderson,CLE,43
1997-98,Kendall Gill,NJN,43
1997-98,Mark Bryant,PHX,40
1997-98,Christian Laettner,ATL,39
1997-98,Keith Van Horn,NJN,38
1997-98,B.J. Armstrong,CHH,37
1997-98,Charles Barkley,HOU,36
1997-98,Tom Hammonds,MIN,36
1997-98,Will Perdue,SAS,36
1997-98,Mario Elie,HOU,33
1997-98,Matt Maloney,HOU,33
1997-98,Dikembe Mutombo,ATL,32
1997-98,Greg Anthony,SEA,32
1997-98,Terry Cummings,NYK,32
1997-98,Wesley Person,CLE,32
1997-98,Adam Keefe,UTA,31
1997-98,Corie Blount,LAL,31
1997-98,Jamal Mashburn,MIA,31
1997-98,Cedric Henderson,CLE,30
1997-98,J.R. Reid,CHH,30
1997-98,Eldridge Recasner,ATL,29
1997-98,Eddie Johnson,HOU,28
1997-98,Kelvin Cato,POR,26
1997-98,Clifford Robinson,PHX,25
1997-98,Steve Nash,PHX,22
1997-98,Jayson Williams,NJN,21
1997-98,Micheal Williams,MIN,20
1997-98,Brent Price,HOU,19
1997-98,Brevin Knight,CLE,18
1997-98,Rex Chapman,PHX,18
1997-98,Rony Seikaly,NJN,18
1997-98,Dennis Scott,PHX,17
1997-98,Matt Bullard,HOU,17
1997-98,Vitaly Potapenko,CLE,17
1997-98,Chucky Brown,ATL,16
1997-98,Dickey Simpkins,CHI,16
1997-98,Nate McMillan,SEA,16
1997-98,Othella Harrington,HOU,16
1997-98,Corey Beck,CHH,15
1997-98,Tyrone Corbin,ATL,15
1997-98,Buck Williams,NYK,14
1997-98,Jim McIlvaine,SEA,13
1997-98,Monty Williams,SAS,12
1997-98,Reggie Jordan,MIN,12
1997-98,Jud Buechler,CHI,11
1997-98,Malik Rose,SAS,10
1997-98,Dan Majerle,MIA,9
1997-98,Donald Royal,CHH,9
1997-98,Fred Hoiberg,IND,9
1997-98,Lucious Harris,NJN,9
1997-98,Mark Pope,IND,9
1997-98,Mark Strickland,MIA,9
1997-98,Randy Brown,CHI,9
1997-98,Reggie Geary,SAS,9
1997-98,Anthony Miller,ATL,8
1997-98,Chris Dudley,NYK,8
1997-98,David Wingate,SEA,8
1997-98,Jacque Vaughn,UTA,7
1997-98,Marty Conlon,MIA,7
1997-98,Hot Rod Williams,PHX,6
1997-98,Rodrick Rhodes,HOU,6
1997-98,Sam Cassell,NJN,6
1997-98,Gary Grant,POR,5
1997-98,Keith Askins,MIA,5
1997-98,Stacey Augmon,POR,5
1997-98,Travis Williams,CHH,5
1997-98,Anthony Bowie,NYK,4
1997-98,Bob Sura,CLE,4
1997-98,Mario Bennett,LAL,4
1997-98,Marko Milic,PHX,4
1997-98,Sean Rooks,LAL,4
1997-98,Terry Mills,MIA,4
1997-98,Mark West,IND,3
1997-98,Aaron Williams,SEA,2
1997-98,Alton Lister,POR,2
1997-98,Carl Herrera,SAS,2
1997-98,Carl Thomas,CLE,2
1997-98,Charles Jones,HOU,2
1997-98,Chris Crawford,ATL,2
1997-98,DeJuan Wheat,MIN,2
1997-98,Matt Geiger,CHH,2
1997-98,Scott Brooks,CLE,2
1997-98,Shawnelle Scott,CLE,2
1997-98,Stanley Roberts,MIN,1
1997-98,Bill Curley,MIN,0
1997-98,Brad Lohaus,SAS,0
1997-98,Brian Evans,NJN,0
1997-98,Cherokee Parks,MIN,0
1997-98,Danny Ferry,CLE,0
1997-98,David Vaughn,NJN,0
1997-98,Drew Barry,ATL,0
1997-98,Duane Causwell,MIA,0
1997-98,Greg Anderson,ATL,0
1997-98,Jermaine O'Neal,POR,0
1997-98,Jon Barry,LAL,0
1997-98,Mike Brown,PHX,0
1998-99,Latrell Sprewell,NYK,407
1998-99,Tim Duncan,SAS,395
1998-99,Allan Houston,NYK,370
1998-99,David Robinson,SAS,265
1998-99,Reggie Miller,IND,263
1998-99,Karl Malone,UTA,240
1998-99,Larry Johnson,NYK,229
1998-99,Allen Iverson,PHI,228
1998-99,Avery Johnson,SAS,215
1998-99,Isaiah Rider,POR,214
1998-99,Shaquille O'Neal,LAL,213
1998-99,Marcus Camby,NYK,207
1998-99,Sean Elliott,SAS,203
1998-99,Rasheed Wallace,POR,193
1998-99,Brian Grant,POR,171
1998-99,Jalen Rose,IND,158
1998-99,Kobe Bryant,LAL,158
1998-99,Steven Smith,ATL,156
1998-99,Rik Smits,IND,153
1998-99,Mark Jackson,IND,146
1998-99,Patrick Ewing,NYK,144
1998-99,Jaren Jackson,SAS,140
1998-99,Mario Elie,SAS,135
1998-99,Jeff Hornacek,UTA,134
1998-99,Bryon Russell,UTA,133
1998-99,Damon Stoudamire,POR,132
1998-99,Arvydas Sabonis,POR,130
1998-99,Glen Rice,LAL,128
1998-99,Chris Mullin,IND,124
1998-99,John Stockton,UTA,122
1998-99,Dale Davis,IND,118
1998-99,Dikembe Mutombo,ATL,113
1998-99,Mookie Blaylock,ATL,113
1998-99,Alonzo Mourning,MIA,108
1998-99,Matt Geiger,PHI,108
1998-99,Kurt Thomas,NYK,106
1998-99,Grant Long,ATL,105
1998-99,Shandon Anderson,UTA,104
1998-99,Antonio Davis,IND,103
1998-99,Eric Snow,PHI,99
1998-99,Grant Hill,DET,97
1998-99,Jim Jackson,POR,95
1998-99,Charles Barkley,HOU,94
1998-99,Chris Childs,NYK,94
1998-99,Charlie Ward,NYK,92
1998-99,Kevin Garnett,MIN,87
1998-99,Nick Anderson,ORL,83
1998-99,Larry Hughes,PHI,82
1998-99,Howard Eisley,UTA,81
1998-99,Vlade Divac,SAC,81
1998-99,Derek Fisher,LAL,78
1998-99,Terrell Brandon,MIN,77
1998-99,Anfernee Hardaway,ORL,76
1998-99,Chris Webber,SAC,74
1998-99,Scottie Pippen,HOU,73
1998-99,George Lynch,PHI,72
1998-99,Tyrone Corbin,ATL,69
1998-99,Greg Anthony,POR,67
1998-99,Ray Allen,MIL,67
1998-99,Walt Williams,POR,63
1998-99,Glenn Robinson,MIL,62
1998-99,Chris Crawford,ATL,59
1998-99,Darrell Armstrong,ORL,59
1998-99,Vernon Maxwell,SAC,56
1998-99,Bison Dele,DET,53
1998-99,Corliss Williamson,SAC,53
1998-99,Hakeem Olajuwon,HOU,53
1998-99,Rick Fox,LAL,53
1998-99,Sam Perkins,IND,53
1998-99,Christian Laettner,DET,51
1998-99,Joe Dumars,DET,51
1998-99,P.J. Brown,MIA,51
1998-99,Theo Ratliff,PHI,51
1998-99,Jamal Mashburn,MIA,50
1998-99,Jason Williams,SAC,50
1998-99,Jerry Stackhouse,DET,50
1998-99,Sam Mack,HOU,50
1998-99,Clifford Robinson,PHX,47
1998-99,Derrick McKey,IND,47
1998-99,Malik Rose,SAS,46
1998-99,Sam Cassell,MIL,46
1998-99,Travis Best,IND,46
1998-99,Jason Kidd,PHX,45
1998-99,Terry Porter,MIA,45
1998-99,Tim Hardaway,MIA,45
1998-99,Tyrone Hill,PHI,45
1998-99,Ed Gray,ATL,44
1998-99,Greg Ostertag,UTA,44
1998-99,Chris Dudley,NYK,43
1998-99,Tariq Abdul-Wahad,SAC,43
1998-99,George McCloud,PHX,42
1998-99,Adam Keefe,UTA,41
1998-99,Jon Barry,SAC,40
1998-99,Robert Horry,LAL,40
1998-99,Sam Mitchell,MIN,40
1998-99,Danny Manning,PHX,38
1998-99,Thurl Bailey,UTA,37
1998-99,Voshon Lenard,MIA,37
1998-99,Jerome Kersey,SAS,36
1998-99,Lindsey Hunter,DET,36
1998-99,Stacey Augmon,POR,35
1998-99,Brent Price,HOU,33
1998-99,Matt Harpring,ORL,33
1998-99,Tom Gugliotta,PHX,32
1998-99,Jerome Williams,DET,31
1998-99,Derek Harper,LAL,30
1998-99,Joe Smith,MIN,30
1998-99,Clar. Weatherspoon,MIA,29
1998-99,Cuttino Mobley,HOU,28
1998-99,Anthony Peeler,MIN,27
1998-99,Antonio Daniels,SAS,27
1998-99,Horace Grant,ORL,27
1998-99,Pat Garrity,PHX,27
1998-99,Ike Austin,ORL,26
1998-99,J.R. Reid,LAL,26
1998-99,Roshown McLeod,ATL,26
1998-99,Todd Fuller,UTA,26
1998-99,Anthony Johnson,ATL,24
1998-99,Peja Stojakovic,SAC,24
1998-99,Steve Kerr,SAS,24
1998-99,Tim Thomas,MIL,23
1998-99,Dean Garrett,MIN,22
1998-99,Othella Harrington,HOU,22
1998-99,Aaron McKie,PHI,20
1998-99,Dan Majerle,MIA,20
1998-99,Malik Sealy,MIN,20
1998-99,Michael Curry,MIL,20
1998-99,Bo Outlaw,ORL,18
1998-99,Armen Gilliam,MIL,17
1998-99,Michael Dickerson,HOU,17
1998-99,Michael Doleac,ORL,17
1998-99,Rex Chapman,PHX,17
1998-99,Greg Foster,UTA,16
1998-99,Randy Livingston,PHX,16
1998-99,Robert Traylor,MIL,16
1998-99,Scot Pollard,SAC,15
1998-99,Jermaine O'Neal,POR,14
1998-99,Tyronn Lue,LAL,14
1998-99,Ervin Johnson,MIL,13
1998-99,Haywoode Workman,MIL,13
1998-99,Will Perdue,SAS,13
1998-99,Lawrence Funderburke,SAC,10
1998-99,Dell Curry,MIL,9
1998-99,Sean Rooks,LAL,9
1998-99,Antoine Carr,HOU,8
1998-99,Jud Buechler,DET,8
1998-99,Mark West,ATL,8
1998-99,Rasho Nesterovic,MIN,8
1998-99,Eric Montross,DET,7
1998-99,Matt Bullard,HOU,7
1998-99,Duane Causwell,MIA,6
1998-99,Kelvin Cato,POR,6
1998-99,Rick Brunson,NYK,6
1998-99,Chris Morris,PHX,5
1998-99,Jerome James,SAC,5
1998-99,Rick Mahorn,PHI,5
1998-99,Bobby Jackson,MIN,4
1998-99,Charles O'Bannon,DET,4
1998-99,Derek Strong,ORL,4
1998-99,Don Reid,DET,4
1998-99,Fred Hoiberg,IND,4
1998-99,Gerard King,SAS,4
1998-99,Loy Vaught,DET,4
1998-99,Luc Longley,PHX,4
1998-99,Mark Strickland,MIA,4
1998-99,Tom Hammonds,MIN,4
1998-99,Jacque Vaughn,UTA,3
1998-99,James Robinson,MIN,3
1998-99,Travis Knight,LAL,3
1998-99,Austin Croshere,IND,2
1998-99,Bryce Drew,HOU,2
1998-99,Dominique Wilkins,ORL,2
1998-99,Gerald Brown,PHX,2
1998-99,Harvey Grant,PHI,2
1998-99,Herb Williams,NYK,2
1998-99,Jerald Honeycutt,PHI,2
1998-99,Joe Kleine,PHX,2
1998-99,Michael Hawkins,SAC,2
1998-99,Stanley Roberts,HOU,1
1998-99,Alan Henderson,ATL,0
1998-99,Andrae Patterson,MIN,0
1998-99,B.J. Armstrong,ORL,0
1998-99,Chris Gatling,MIL,0
1998-99,Dan Schayes,ORL,0
1998-99,Jeff Sheppard,ATL,0
1998-99,Keith Askins,MIA,0
1998-99,Nazr Mohammed,PHI,0
1998-99,Rex Walters,MIA,0
1998-99,Ruben Patterson,LAL,0
1999-00,Shaquille O'Neal,LAL,707
1999-00,Reggie Miller,IND,527
1999-00,Jalen Rose,IND,479
1999-00,Kobe Bryant,LAL,465
1999-00,Latrell Sprewell,NYK,299
1999-00,Rasheed Wallace,POR,286
1999-00,Glen Rice,LAL,285
1999-00,Allan Houston,NYK,281
1999-00,Steven Smith,POR,274
1999-00,Karl Malone,UTA,272
1999-00,Allen Iverson,PHI,262
1999-00,Rik Smits,IND,241
1999-00,Scottie Pippen,POR,239
1999-00,Alonzo Mourning,MIA,216
1999-00,Austin Croshere,IND,216
1999-00,Patrick Ewing,NYK,204
1999-00,Travis Best,IND,204
1999-00,Ron Harper,LAL,198
1999-00,Dale Davis,IND,190
1999-00,Mark Jackson,IND,187
1999-00,Anfernee Hardaway,PHX,183
1999-00,Arvydas Sabonis,POR,181
1999-00,Larry Johnson,NYK,180
1999-00,Jamal Mashburn,MIA,175
1999-00,Robert Horry,LAL,175
1999-00,Clifford Robinson,PHX,158
1999-00,Charlie Ward,NYK,150
1999-00,Damon Stoudamire,POR,142
1999-00,Bryon Russell,UTA,140
1999-00,Aaron McKie,PHI,138
1999-00,Theo Ratliff,PHI,130
1999-00,Gary Payton,SEA,129
1999-00,Rodney Rogers,PHX,127
1999-00,Tyrone Hill,PHI,123
1999-00,Chris Webber,SAC,122
1999-00,Brian Shaw,LAL,119
1999-00,Jeff Hornacek,UTA,115
1999-00,John Stockton,UTA,112
1999-00,Ray Allen,MIL,110
1999-00,Sam Perkins,IND,110
1999-00,Bonzi Wells,POR,105
1999-00,Rick Fox,LAL,100
1999-00,Derek Fisher,LAL,99
1999-00,David Robinson,SAS,94
1999-00,Toni Kukoc,PHI,93
1999-00,A.C. Green,LAL,90
1999-00,Dan Majerle,MIA,90
1999-00,Brian Grant,POR,87
1999-00,Chris Childs,NYK,87
1999-00,Detlef Schrempf,POR,84
1999-00,Shawn Marion,PHX,82
1999-00,Derrick Coleman,CHH,81
1999-00,Sam Cassell,MIL,79
1999-00,Terrell Brandon,MIN,78
1999-00,Anthony Carter,MIA,77
1999-00,Glenn Robinson,MIL,77
1999-00,Marcus Camby,NYK,77
1999-00,Rashard Lewis,SEA,77
1999-00,Tim Thomas,MIL,77
1999-00,Kevin Garnett,MIN,75
1999-00,P.J. Brown,MIA,75
1999-00,Jerry Stackhouse,DET,74
1999-00,Matt Geiger,PHI,70
1999-00,Vin Baker,SEA,70
1999-00,Kurt Thomas,NYK,69
1999-00,Eddie Jones,CHH,68
1999-00,Clar. Weatherspoon,MIA,64
1999-00,Greg Anthony,POR,60
1999-00,George Lynch,PHI,59
1999-00,Jason Kidd,PHX,59
1999-00,Olden Polynice,UTA,59
1999-00,Vince Carter,TOR,58
1999-00,Elden Campbell,CHH,57
1999-00,Tony Delk,SAC,56
1999-00,Vlade Divac,SAC,56
1999-00,Tim Hardaway,MIA,54
1999-00,Jason Williams,SAC,52
1999-00,Howard Eisley,UTA,51
1999-00,Scott Williams,MIL,51
1999-00,Shammond Williams,SEA,51
1999-00,Anthony Mason,CHH,50
1999-00,Malik Sealy,MIN,50
1999-00,Tracy McGrady,TOR,50
1999-00,Avery Johnson,SAS,48
1999-00,Derrick McKey,IND,47
1999-00,Corie Blount,PHX,44
1999-00,David Wesley,CHH,44
1999-00,Peja Stojakovic,SAC,44
1999-00,Brent Barry,SEA,42
1999-00,Todd Day,PHX,42
1999-00,Ruben Patterson,SEA,41
1999-00,Sean Elliott,SAS,40
1999-00,Antonio Davis,TOR,39
1999-00,Jon Barry,SAC,39
1999-00,Kevin Willis,TOR,39
1999-00,Luc Longley,PHX,38
1999-00,Eric Snow,PHI,37
1999-00,Nick Anderson,SAC,36
1999-00,Samaki Walker,SAS,36
1999-00,Armen Gilliam,UTA,35
1999-00,Bruce Bowen,MIA,35
1999-00,Corliss Williamson,SAC,33
1999-00,Otis Thorpe,MIA,33
1999-00,Chris Mullin,IND,31
1999-00,Ervin Johnson,MIL,31
1999-00,Anthony Peeler,MIN,30
1999-00,Brad Miller,CHH,30
1999-00,Charles Oakley,TOR,30
1999-00,Greg Ostertag,UTA,30
1999-00,Mario Elie,SAS,30
1999-00,Antonio Daniels,SAS,29
1999-00,Kevin Johnson,PHX,29
1999-00,Jacque Vaughn,UTA,28
1999-00,Michael Curry,DET,28
1999-00,Quincy Lewis,UTA,26
1999-00,Vinny Del Negro,MIL,26
1999-00,Darvin Ham,MIL,25
1999-00,Lindsey Hunter,DET,25
1999-00,Rasho Nesterovic,MIN,25
1999-00,Terry Mills,DET,25
1999-00,Horace Grant,SEA,24
1999-00,Wally Szczerbiak,MIN,24
1999-00,Baron Davis,CHH,23
1999-00,Sam Mitchell,MIN,23
1999-00,Devean George,LAL,22
1999-00,Grant Hill,DET,22
1999-00,Malik Rose,SAS,21
1999-00,Christian Laettner,DET,20
1999-00,Kevin Ollie,PHI,20
1999-00,Scot Pollard,SAC,20
1999-00,Terry Porter,SAS,20
1999-00,Greg Foster,SEA,18
1999-00,Joe Smith,MIN,18
1999-00,Mikki Moore,DET,18
1999-00,Travis Knight,LAL,18
1999-00,John Salley,LAL,17
1999-00,Muggsy Bogues,TOR,16
1999-00,Bobby Jackson,MIN,15
1999-00,Jerome Williams,DET,15
1999-00,Scott Padgett,UTA,15
1999-00,Randy Livingston,PHX,14
1999-00,Doug Christie,TOR,12
1999-00,Eddie Robinson,CHH,12
1999-00,Jermaine O'Neal,POR,12
1999-00,Jonathan Bender,IND,12
1999-00,Zan Tabak,IND,12
1999-00,Rodney Buford,MIA,11
1999-00,Darrick Martin,SAC,10
1999-00,Lawrence Funderburke,SAC,10
1999-00,Lazaro Borrell,SEA,10
1999-00,Stacey Augmon,POR,9
1999-00,Todd MacCulloch,PHI,8
1999-00,Dell Curry,TOR,7
1999-00,John Crotty,DET,6
1999-00,Jud Buechler,DET,6
1999-00,Oliver Miller,PHX,6
1999-00,Derrick Dial,SAS,5
1999-00,Chris Dudley,NYK,4
1999-00,Jelani McCoy,SEA,4
1999-00,Mirsad Turkcan,MIL,4
1999-00,Toby Bailey,PHX,4
1999-00,Tyrone Corbin,SAC,4
1999-00,Dean Garrett,MIN,3
1999-00,Jaren Jackson,SAS,2
1999-00,Jerome Kersey,SAS,2
