Name,Team,CoI
Carmelo Anthony,LAL,USA
Cole Anthony,ORL,USA
Greg Anthony,NYK,USA
Joel Anthony,MIA,Canada
Pero Antic,ATL,Macedonia
OG Anunoby,NYK,United Kingdom
Keith Appling,ORL,USA
Rafael Araujo,TOR,Brazil
Stacey Arceneaux,ATL,USA
Nate Archibald,SAC,USA
Robert Archibald,TOR,Scotland
Ryan Arcidiacono,NYK,USA
Jim Ard,BOS,USA
Gilbert Arenas,WAS,USA
Trevor Ariza,LAL,USA
Paul Arizin,GSW,USA
Joe Arlauckas,SAC,USA
B.J. Armstrong,CHI,USA
Bob Armstrong,GSW,USA
Brandon Armstrong,BKN,USA
Darrell Armstrong,ORL,USA
Hilton Armstrong,NOP,USA
Paul Armstrong,DET,USA
Tate Armstrong,CHI,USA
Jesse Arnelle,DET,USA
Jay Arnette,SAC,USA
Bob Arnzen,SAC,USA
Carlos Arroyo,ORL,Puerto Rico
Darrell Arthur,DEN,USA
John Arthurs,MIL,USA
Jamel Artis,ORL,USA
Omer Asik,NOP,Turkey
Vincent Askew,OKC,USA
Keith Askins,MIA,USA
Don Asmonga,NONE,USA
Richard Atha,NYK,USA
Chucky Atkins,DET,USA
Alvin Attles,GSW,USA
Chet Aubuchon,NONE,USA
Stacey Augmon,ATL,USA
D.J. Augustin,LAL,USA
James Augustine,ORL,USA
Ike Austin,MIA,USA
John Austin,WAS,USA
Ken Austin,DET,USA
Deni Avdija,WAS,Israel
Anthony Avent,MIL,USA
William Averitt,LAC,USA
William Avery,MIN,USA
Dennis Awtrey,PHX,USA
Joel Ayayi,WAS,France
Gustavo Ayon,NOP,Mexico
Jeff Ayres,SAS,USA
Deandre Ayton,POR,Bahamas
Kelenna Azubuike,GSW,United Kingdom
Udoka Azubuike,PHX,Nigeria
Chris Babb,BOS,USA
Luke Babbitt,NOP,USA
Milos Babic,CLE,USA
Johnny Bach,BOS,USA
Dwayne Bacon,LAL,USA
Ibou Badji,POR,Senegal
Jim Baechtold,NYK,USA
Dalibor Bagaric,CHI,Croatia
John Bagley,CLE,USA
Marvin Bagley III,WAS,USA
Amari Bailey,CHA,USA
Carl Bailey,POR,USA
Gus Bailey,HOU,USA
James Bailey,OKC,USA
Thurl Bailey,UTA,USA
Toby Bailey,PHX,USA
Cameron Bairstow,CHI,Australia
Mark Baker,TOR,USA
Maurice Baker,POR,USA
Norm Baker,NONE,Canada
Ron Baker,NYK,USA
Vin Baker,OKC,USA
Wade Baldwin IV,MEM,USA
Patrick Baldwin Jr.,WAS,USA
Renaldo Balkman,NYK,USA
Cedric Ball,LAC,USA
LaMelo Ball,CHA,USA
Lonzo Ball,CHI,USA
Greg Ballard,WAS,USA
Herschel Baltimore,NONE,USA
Mo Bamba,PHI,USA
Paolo Banchero,ORL,USA
Desmond Bane,MEM,USA
Gene Banks,SAS,USA
Marcus Banks,BOS,USA
Ken Bannister,NYK,USA
Mike Bantom,IND,USA
Dalano Banton,POR,Canada
Cat Barber,ATL,USA
John Barber,ATL,USA
Leandro Barbosa,PHX,Brazil
Stephen Bardo,DAL,USA
J.J. Barea,DAL,Puerto Rico
Andrea Bargnani,TOR,Italy
Cliff Barker,NONE,USA
Tom Barker,ATL,USA
Charles Barkley,PHI,USA
Erick Barkley,POR,USA
Don Barksdale,BOS,USA
Dominick Barlow,SAS,USA
Harrison Barnes,SAC,USA
Harry Barnes,HOU,USA
Jim Barnes,BOS,USA
Marvin Barnes,LAC,USA
Matt Barnes,LAC,USA
Scottie Barnes,TOR,USA
Dick Barnett,NYK,USA
Jim Barnett,GSW,USA
John Barnhill,ATL,USA
Norton Barnhill,OKC,USA
Leo Barnhorst,NONE,USA
John Barr,NONE,USA
Mike Barr,SAC,USA
Thomas Barr,SAC,USA
Andre Barrett,HOU,USA
Ernie Barrett,BOS,USA
RJ Barrett,TOR,Canada
Earl Barron,MIA,USA
Dana Barros,BOS,USA
Brent Barry,OKC,USA
Drew Barry,ATL,USA
Jon Barry,MIL,USA
Rick Barry,GSW,USA
Ed Bartels,NONE,USA
Vic Bartolome,GSW,USA
Will Barton,TOR,USA
Eddie Basden,CHI,USA
Jerry Baskerville,PHI,USA
Brandon Bass,BOS,USA
Paris Bass,PHX,USA
Tim Bassett,BKN,USA
Charles Bassey,SAS,Nigeria
Maceo Baston,IND,USA
Mengke Bateer,DEN,China
Billyray Bates,POR,USA
Emoni Bates,CLE,USA
Keita Bates-Diop,BKN,USA
Esteban Batista,ATL,Uruguay
Mike Batiste,MEM,USA
Tony Battie,BOS,USA
Shane Battier,MEM,USA
John Battle,ATL,USA
Kenny Battle,PHX,USA
Dave Batton,WAS,USA
Nicolas Batum,PHI,France
Johnny Baum,CHI,USA
Frankie Baumholtz,NONE,USA
Lonny Baxter,CHI,USA
Jerryd Bayless,MIL,USA
Elgin Baylor,LAL,USA
Aron Baynes,DET,Australia
Sergei Bazarevich,ATL,Russia
Kent Bazemore,SAC,USA
Darius Bazley,UTA,USA
Ed Beach,ATL,USA
Bradley Beal,PHX,USA
Butch Beard,NYK,USA
Ralph Beard,NONE,USA
Jerome Beasley,MIA,USA
Malik Beasley,MIL,USA
Michael Beasley,MIA,USA
Zelmo Beaty,ATL,USA
Rodrigue Beaubois,DAL,France
MarJon Beauchamp,MIL,USA
Byron Beck,DEN,USA
Corey Beck,CHA,USA
Ernie Beck,GSW,USA
Moe Becker,NONE,USA
William Bedford,DET,USA
Hank Beenders,NONE,USA
Ron Behagen,SAC,USA
Elmer Behnke,ATL,USA
Marco Belinelli,SAS,Italy
Charlie Bell,MIL,USA
Dennis Bell,NYK,USA
Jordan Bell,CHI,USA
Raja Bell,PHX,US Virgin Islands
Troy Bell,MEM,USA
William Bell,NYK,USA
Walt Bellamy,ATL,USA
DeAndre' Bembry,MIL,USA
Irv Bemoras,ATL,USA
Leon Benbow,CHI,USA
Dragan Bender,PHX,Croatia
Jonathan Bender,IND,USA
Jerrelle Benimon,UTA,USA
Benoit Benjamin,LAC,USA
Corey Benjamin,CHI,USA
Anthony Bennett,MIN,Canada
Elmer Bennett,PHI,USA
Mario Bennett,LAL,USA
Mel Bennett,IND,USA
Tony Bennett,CHA,USA
Winston Bennett,CLE,USA
David Benoit,UTA,USA
Keith Benson,GSW,USA
Kent Benson,DET,USA
Ben Bentil,DAL,Ghana
Gene Berce,ATL,USA
Gary Bergen,NYK,USA
Jules Bernard,WAS,USA
Ricky Berry,SAC,USA
Walter Berry,SAS,USA
Dairis Bertans,NOP,Latvia
Davis Bertans,CHA,Latvia
Del Beshore,CHI,USA
Travis Best,IND,USA
Patrick Beverley,MIL,USA
Saddiq Bey,ATL,USA
Tyler Bey,HOU,USA
Sim Bhullar,SAC,Canada
Al Bianchi,PHI,USA
Hank Biasatti,NONE,Canada
Henry Bibby,PHI,USA
Mike Bibby,SAC,USA
Ed Biedenbach,PHX,USA
Andris Biedrins,GSW,Latvia
Don Bielke,DET,USA
Bob Bigelow,SAC,USA
Chauncey Billups,DET,USA
Dave Bing,DET,USA
Joe Binion,POR,USA
Khem Birch,SAS,Canada
Jabari Bird,BOS,USA
Jerry Bird,NYK,USA
Larry Bird,BOS,USA
Otis Birdsong,BKN,USA
Gale Bishop,GSW,USA
Goga Bitadze,ORL,Georgia
Onuralp Bitim,CHI,Turkey
Bismack Biyombo,OKC,DRC
Nemanja Bjelica,GSW,Serbia
Uwe Blab,DAL,USA
Anthony Black,ORL,USA
Charlie Black,DET,USA
Leaky Black,CHA,USA
Norman Black,DET,USA
Tarik Black,LAL,USA
Tom Black,OKC,USA
Rolando Blackman,DAL,USA
Alex Blackwell,LAL,USA
Cory Blackwell,OKC,USA
James Blackwell,BOS,USA
Nate Blackwell,SAS,USA
DeJuan Blair,SAS,USA
Steve Blake,POR,USA
Marqus Blakely,HOU,USA
Antonio Blakeney,CHI,USA
Will Blalock,DET,USA
